Land,Reisewarnung,Riskzone,Test_entry,Entry_form,Quarantine
albanien,1,1,0,0,1
andorra,1,1,0,0,1
belgien,1,1,0,1,1
bosnien-und-herzegowina,1,1,1,0,1
bulgarien,1,1,0,0,1
daenemark,1,1,1,0,1
estland,1,1,0,0,1
finnland,0,0,0,0,0
frankreich,1,1,1,0,1
griechenland,0,0,1,1,0
grossbritannien,1,1,1,1,1
irland,1,1,1,1,1
island,0,0,1,1,0
italien,1,1,1,1,1
kosovo,1,1,1,0,1
kroatien,1,1,1,1,1
lettland,1,1,1,1,1
liechtenstein,1,1,0,0,1
litauen,1,1,0,1,1
luxemburg,1,1,0,0,1
malta,1,1,1,0,1
moldau,1,1,0,0,1
monaco,1,1,0,0,1
montenegro,1,1,0,0,1
niederlande,JA ,1,0,0,1
nordmazedonien,1,1,0,0,1
oesterreich,1,1,0,1,1
polen,1,1,0,0,1
portugal,1,1,0,0,1
rumaenien,1,1,0,1,1
russland,1,1,0,0,1
san-marino,1,1,1,0,1
schweden,1,1,0,0,1
schweiz,1,1,0,0,1
serbien,1,1,1,0,1
slowakei,1,1,1,1,1
slowenien,1,1,0,0,1
spanien,1,1,1,1,1
tschechien,1,1,1,1,1
tuerkei,1,1,1,0,1
ukraine,1,1,0,0,1
ungarn-,1,1,0,0,1
weissrussland-belarus,1,1,0,0,1
zypern,1,1,1,1,1
aegypten,JA,1,0,NoValue,NoValue
argentinien,JA,1,0,NoValue,NoValue
australien,NEIN,0,0,NoValue,NoValue
bahamas,JA,1,0,NoValue,NoValue
barbados,JA,1,0,NoValue,NoValue
bhutan,JA,1,0,NoValue,NoValue
botswana,JA,1,0,NoValue,NoValue
bolivien,JA,1,0,NoValue,NoValue
brasilien,JA,1,0,NoValue,NoValue
chile,JA,1,0,NoValue,NoValue
china,NEIN,0,0,NoValue,NoValue
costa-rica,JA,1,0,NoValue,NoValue
dominikanische-republik,JA,1,0,NoValue,NoValue
ecuador,JA,1,0,NoValue,NoValue
el-salvador,JA,1,0,NoValue,NoValue
gambia,JA,1,0,NoValue,NoValue
ghana,JA,1,0,NoValue,NoValue
guatemala,JA,1,0,NoValue,NoValue
honduras,JA,1,0,NoValue,NoValue
hongkong,NEIN,0,0,NoValue,NoValue
indien,JA,1,0,NoValue,NoValue
indonesien,JA,1,0,NoValue,NoValue
israel,JA,1,0,NoValue,NoValue
jamaika,JA,1,0,NoValue,NoValue
japan,NEIN,0,0,NoValue,NoValue
jordanien,JA,1,0,NoValue,NoValue
kambodscha,NEIN,0,0,NoValue,NoValue
kanada,JA,1,0,NoValue,NoValue
kap-verde,JA,1,0,NoValue,NoValue
katar,JA,1,0,NoValue,NoValue
kenia,JA,1,0,NoValue,NoValue
kolumbien,JA,1,0,NoValue,NoValue
kuba,NEIN,0,0,NoValue,NoValue
madagaskar,JA,NoValue,0,NoValue,NoValue
malaysia,JA,1,0,NoValue,NoValue
malediven,JA,1,0,NoValue,NoValue
marokko,JA,1,0,NoValue,NoValue
mauretanien,JA,1,0,NoValue,NoValue
mauritius,NEIN,0,0,NoValue,NoValue
mexiko,JA,1,0,NoValue,NoValue
mosambik,JA,1,0,NoValue,NoValue
myanmar,NEIN,0,0,NoValue,NoValue
namibia,JA,1,0,NoValue,NoValue
nepal,JA,1,0,NoValue,NoValue
neuseeland,NEIN,0,0,NoValue,NoValue
oman,JA,1,0,NoValue,NoValue
panama,JA,1,0,NoValue,NoValue
peru,JA,1,0,NoValue,NoValue
philippinen,JA,1,0,NoValue,NoValue
sambia,JA,1,0,NoValue,NoValue
st-lucia,NEIN,0,0,NoValue,NoValue
são-tome-und-principe,JA,1,0,NoValue,NoValue
seychellen,1,1,0,NoValue,0
singapur,NEIN,0,0,NoValue,NoValue
sri-lanka,NEIN,0,0,NoValue,NoValue
suedafrika,JA,1,0,NoValue,NoValue
suedkorea,NEIN,0,0,NoValue,NoValue
taiwan,NEIN,0,0,NoValue,NoValue
tansania,JA,1,0,NoValue,NoValue
thailand,NEIN,0,0,NoValue,NoValue
tunesien,JA,1,0,NoValue,NoValue
uganda,NEIN,0,0,NoValue,NoValue
uruguay,JA,1,0,NoValue,NoValue
usa,JA,1,0,NoValue,NoValue
venezuela,JA,1,0,NoValue,NoValue
vereinigte-arabische-emirate,JA,1,0,NoValue,NoValue
vietnam,NEIN,0,0,NoValue,NoValue
Land,Reisewarnung,Riskzone,Test_entry,Entry_form,Quarantine
albanien,1,1,0,0,1
andorra,1,1,0,0,1
belgien,1,1,0,1,1
bosnien-und-herzegowina,1,1,1,0,1
bulgarien,1,1,0,0,1
daenemark,1,1,1,0,1
estland,1,1,0,0,1
finnland,0,0,0,0,0
frankreich,1,1,1,0,1
griechenland,0,0,1,1,0
grossbritannien,1,1,1,1,1
irland,1,1,1,1,1
island,0,0,1,1,0
italien,1,1,1,1,1
kosovo,1,1,1,0,1
kroatien,1,1,1,1,1
lettland,1,1,1,1,1
liechtenstein,1,1,0,0,1
litauen,1,1,0,1,1
luxemburg,1,1,0,0,1
malta,1,1,1,0,1
moldau,1,1,0,0,1
monaco,1,1,0,0,1
montenegro,1,1,0,0,1
niederlande,1,1,NoValue,0,1
nordmazedonien,1,1,0,0,1
norwegen,0,NoValue,1,1,0
oesterreich,1,1,0,1,1
polen,1,1,0,0,1
portugal,1,1,0,0,1
rumaenien,1,1,0,1,1
russland,1,1,0,0,1
san-marino,1,1,1,0,1
schweden,1,1,0,0,1
schweiz,1,1,0,0,1
serbien,1,1,1,0,1
slowakei,1,1,1,1,1
slowenien,1,1,0,0,1
spanien,1,1,1,1,1
tschechien,1,1,1,1,1
tuerkei,1,1,1,0,1
ukraine,1,1,0,0,1
ungarn-,1,1,0,0,1
weissrussland-belarus,1,1,0,0,1
zypern,1,1,1,1,1
aegypten,1,1,NoValue,NoValue,NoValue
argentinien,1,1,NoValue,NoValue,NoValue
australien,0,0,NoValue,NoValue,NoValue
bahamas,1,1,NoValue,NoValue,NoValue
barbados,1,1,NoValue,NoValue,NoValue
bhutan,1,1,NoValue,NoValue,NoValue
botswana,1,1,NoValue,NoValue,NoValue
bolivien,1,1,NoValue,NoValue,NoValue
brasilien,1,1,NoValue,NoValue,NoValue
chile,1,1,NoValue,NoValue,NoValue
china,0,0,NoValue,NoValue,NoValue
costa-rica,1,1,NoValue,NoValue,NoValue
dominikanische-republik,1,1,NoValue,NoValue,NoValue
ecuador,1,1,NoValue,NoValue,NoValue
el-salvador,1,1,NoValue,NoValue,NoValue
gambia,1,1,NoValue,NoValue,NoValue
ghana,1,1,NoValue,NoValue,NoValue
guatemala,1,1,NoValue,NoValue,NoValue
honduras,1,1,NoValue,NoValue,NoValue
hongkong,0,0,NoValue,NoValue,NoValue
indien,1,1,NoValue,NoValue,NoValue
indonesien,1,1,NoValue,NoValue,NoValue
israel,1,1,NoValue,NoValue,NoValue
jamaika,1,1,NoValue,NoValue,NoValue
japan,0,0,NoValue,NoValue,NoValue
jordanien,1,1,NoValue,NoValue,NoValue
kambodscha,0,0,NoValue,NoValue,NoValue
kanada,1,1,NoValue,NoValue,NoValue
kap-verde,1,1,NoValue,NoValue,NoValue
katar,1,1,NoValue,NoValue,NoValue
kenia,1,1,NoValue,NoValue,NoValue
kolumbien,1,1,NoValue,NoValue,NoValue
kuba,0,0,NoValue,NoValue,NoValue
madagaskar,1,NoValue,NoValue,NoValue,NoValue
malaysia,1,1,NoValue,NoValue,NoValue
malediven,1,1,NoValue,NoValue,NoValue
marokko,1,1,NoValue,NoValue,NoValue
mauretanien,1,1,NoValue,NoValue,NoValue
mauritius,0,0,NoValue,NoValue,NoValue
mexiko,1,1,NoValue,NoValue,NoValue
mosambik,1,1,NoValue,NoValue,NoValue
myanmar,0,0,NoValue,NoValue,NoValue
namibia,1,1,NoValue,NoValue,NoValue
nepal,1,1,NoValue,NoValue,NoValue
neuseeland,0,0,NoValue,NoValue,NoValue
oman,1,1,NoValue,NoValue,NoValue
panama,1,1,NoValue,NoValue,NoValue
peru,1,1,NoValue,NoValue,NoValue
philippinen,1,1,NoValue,NoValue,NoValue
sambia,1,1,NoValue,NoValue,NoValue
st-lucia,0,0,NoValue,NoValue,NoValue
são-tome-und-principe,1,1,NoValue,NoValue,NoValue
seychellen,1,1,0,NoValue,0
singapur,0,0,NoValue,NoValue,NoValue
sri-lanka,0,0,NoValue,NoValue,NoValue
suedafrika,1,1,NoValue,NoValue,NoValue
suedkorea,0,0,NoValue,NoValue,NoValue
taiwan,0,0,NoValue,NoValue,NoValue
tansania,1,1,NoValue,NoValue,NoValue
thailand,0,0,NoValue,NoValue,NoValue
tunesien,1,1,NoValue,NoValue,NoValue
uganda,0,0,NoValue,NoValue,NoValue
uruguay,1,1,NoValue,NoValue,NoValue
usa,1,1,NoValue,NoValue,NoValue
venezuela,1,1,NoValue,NoValue,NoValue
vereinigte-arabische-emirate,1,1,NoValue,NoValue,NoValue
vietnam,0,0,NoValue,NoValue,NoValue
